author,date,push,title,url
micheal59,10/18,22,[問卦] 為什麼老人還是愛看豬哥亮的節目,/bbs/Gossiping/M.1666096862.A.256.html
lwt501cx,10/18,爆,[公告] 水桶 & hateOnas失去板主參選資格,/bbs/Gossiping/M.1666096915.A.E17.html
topic21000,10/18,7,Re: [問卦] 秀吉為什麼會覺得自己能扳倒明朝？,/bbs/Gossiping/M.1666096925.A.A0C.html
xwan227770,10/18,11,[問卦] 御飯團為什麼飯不會硬硬的,/bbs/Gossiping/M.1666095338.A.052.html
chadmu,10/18,34,[新聞] 蔡英文已致電關心蘇貞昌　三天前才見面！,/bbs/Gossiping/M.1666095415.A.CF7.html
spirit119,10/18,40,[新聞] 陸生拿五星旗擦鞋秀中華民國國旗 校方：,/bbs/Gossiping/M.1666095422.A.130.html
pennyleo,10/18,2,Re: [問卦] 如果房地產真保值，為何建商現在要急賣？,/bbs/Gossiping/M.1666095527.A.DA9.html
QQmickey,10/18,2,Re: [問卦] 如果房地產真保值，為何建商現在要急賣？,/bbs/Gossiping/M.1666095663.A.93A.html
ZengMaktub,10/18,2,Re: [問卦] 紅線停車，這是誰的車？,/bbs/Gossiping/M.1666095713.A.6FD.html
luke1993107,10/18,13,[問卦]  國小題目,/bbs/Gossiping/M.1666095743.A.E51.html
toofat,10/18,5,[問卦] 有全台最弱美食街家樂福威力廣場的掛嗎？,/bbs/Gossiping/M.1666095777.A.48B.html
xinyi101,10/18,8,[問卦] 以色列客戶邀請我去參觀應該準備什麼,/bbs/Gossiping/M.1666095907.A.DCC.html
leechiungyi,10/18,2,[問卦] 有龜頭的八卦嗎？,/bbs/Gossiping/M.1666095969.A.0EA.html
pb220201,10/18,7,[問卦] 有玉山金走勢的八卦嗎,/bbs/Gossiping/M.1666096102.A.D75.html
xinyi101,10/18,1,[問卦] 世界末日要來了你還是處男,/bbs/Gossiping/M.1666097034.A.F0B.html
QQmickey,10/18,4,[問卦] 洪佩瑜－踮起腳尖愛,/bbs/Gossiping/M.1666096136.A.D16.html
callhek,10/18,1,Re: [新聞] 單親父做大夜班撐3口憾罹癌　2女「爸付出,/bbs/Gossiping/M.1666096179.A.196.html
qazStarStar,10/18,2,Re: [問卦] 統神跟國動的按讚留言也差太多了吧,/bbs/Gossiping/M.1666096210.A.61F.html
jerrylin,10/18,3,Re: [新聞] 獨家／極樂炒房！瘋狂房貸拖全台灣人下,/bbs/Gossiping/M.1666096238.A.C1B.html
yi0116,10/18,7,[問卦] 台北把車停在水門外的都是什麼人,/bbs/Gossiping/M.1666096306.A.F81.html
plzza0cats,10/18,9,[問卦] 面速力達母幹嘛的？,/bbs/Gossiping/M.1666094324.A.A41.html
louiskuo,10/18,5,[問卦] 為啥報數字手要一直抖?,/bbs/Gossiping/M.1666094332.A.205.html
b33,10/18,3,[新聞] 熱門養身「黑種草油」檢出致癌物！食藥署,/bbs/Gossiping/M.1666094487.A.669.html
EmeraldAZ,10/18,2,[問卦] 小穹是文學少女嗎><(小穹陣線),/bbs/Gossiping/M.1666094619.A.070.html
seand8088503,10/18,5,[問卦] 蕭煌奇網球怎麼那麼強？哪裡學的啊><,/bbs/Gossiping/M.1666094673.A.3D2.html
KennethC,10/18,6,[問卦] 為什麼攤平成本不是到谷底再買就好了？,/bbs/Gossiping/M.1666094696.A.DD5.html
ilv1181023,10/18,4,[問卦] 單人登聖母峰很難嗎？,/bbs/Gossiping/M.1666094698.A.FEE.html
sted0101,10/18,5,Re: [新聞] 駁王鴻薇爆料 陳其邁：20多前已返還醫科,/bbs/Gossiping/M.1666094701.A.8C3.html
kevin19528,10/18,54,[問卦] 下大雨自己不移車是在該什麼？,/bbs/Gossiping/M.1666094802.A.A82.html
ryokoon,10/18,2,Re: [問卦] 台灣現在484交通大違規的時代？,/bbs/Gossiping/M.1666094850.A.464.html
STi2011,10/18,13,[新聞] 成大團隊研發蛇毒蛋白變新藥 治療糖尿病,/bbs/Gossiping/M.1666094936.A.1C6.html
Goldpaper,10/18,X1,[新聞] 恩恩爸催淚回憶 「對著恩恩汽座說，我們,/bbs/Gossiping/M.1666095034.A.852.html
super1314159,10/18,2,Re: [問卦] 都告訴你有疫情了為什麼不自己負責？,/bbs/Gossiping/M.1666095041.A.013.html
saiulbb,10/18,26,[問卦] 機車輪胎換900元/1100元還是1300元的？,/bbs/Gossiping/M.1666095100.A.380.html
b777300,10/18,24,[問卦] 如果房地產真保值，為何建商現在要急賣？,/bbs/Gossiping/M.1666095148.A.9FC.html
teddy98,10/18,4,[問卦] 看稿 or 論文抄襲，哪個嚴重,/bbs/Gossiping/M.1666095208.A.B42.html
dk27go,10/18,1,[問卦]  早餐店分享餐150元的八卦？,/bbs/Gossiping/M.1666093307.A.770.html
smallgigi,10/18,14,[新聞] 藍委逼問高端採購 要求審計長陳瑞敏不要,/bbs/Gossiping/M.1666093396.A.462.html
blackis9ood,10/18,67,Re: [爆卦] 苗博雅紅線違停 媒體完全不敢報 本人,/bbs/Gossiping/M.1666093448.A.778.html
humbler,10/18,爆,[新聞] 獨家／極樂炒房！瘋狂房貸拖全台灣人下,/bbs/Gossiping/M.1666093465.A.0E0.html
tigotigo,10/18,10,[問卦] 要怎麼在警察面前闖紅燈不被抓？,/bbs/Gossiping/M.1666093594.A.ED0.html
bigmi,10/18,2,Re: [問卦] 闖紅燈被警察攔下一定會開單還是會放你走?,/bbs/Gossiping/M.1666093744.A.47D.html
haha98,10/18,27,[新聞] 被當盤子?好市多699元海鮮組「滿滿好料」,/bbs/Gossiping/M.1666093780.A.80D.html
nanami56,10/18,5,[問卦] 急！電腦開機後就倒數60秒關機,/bbs/Gossiping/M.1666093901.A.802.html
saiulbb,10/18,1,[新聞] 容易被騙去柬埔寨？金融研訓院：20~29 歲年輕世代金融素養告,/bbs/Gossiping/M.1666093911.A.08F.html
cc02040326,10/18,1,Re: [問卦] 要怎麼在警察面前闖紅燈不被抓？,/bbs/Gossiping/M.1666094008.A.D08.html
debby1993,10/18,5,Re: [新聞] 高端戰士赴日「補打方案」簽核中　缺幾,/bbs/Gossiping/M.1666094033.A.9B3.html
ciafbi007,10/18,7,[問卦] 目前國三上有車逆向？,/bbs/Gossiping/M.1666094150.A.CB4.html
cuteme5566,10/18,14,[問卦] 女同事說我很硬代表什麼,/bbs/Gossiping/M.1666094151.A.9D9.html
N1T1U8ST,10/18,12,Re: [問卦] 紅線停車，這是誰的車？,/bbs/Gossiping/M.1666092333.A.549.html
vntlu,10/18,33,[新聞] 旅館人員嚇壞！高雄男遲未退房 胸口插刀,/bbs/Gossiping/M.1666092398.A.819.html
joanzkow,10/18,爆,[新聞] 快訊／大溪豆干節有辣妹SM熱舞　市府緊急,/bbs/Gossiping/M.1666092485.A.5F8.html
keane9112,10/18,1,[問卦] 台灣現在484交通大違規的時代？,/bbs/Gossiping/M.1666092563.A.7C2.html
emperor,10/18,31,[新聞] 高端疫苗一劑破千元？監察院：已調查盼毋,/bbs/Gossiping/M.1666092581.A.560.html
Gary5566,10/18,2,[問卦] 搶銀行怎麼這麼簡單,/bbs/Gossiping/M.1666092648.A.892.html
nbarepeat,10/18,4,[問卦] 澤倫司基跟普丁單挑,/bbs/Gossiping/M.1666092706.A.4D9.html
dj720c,10/18,6,Re: [新聞] 6歲女童餓成骷髏頭！外公伸援被拒 怒譙女,/bbs/Gossiping/M.1666092713.A.F08.html
pinkowa,10/18,7,Re: [問卦] 打過NOVAVAX後還需要打莫德納次世代嗎??,/bbs/Gossiping/M.1666092790.A.98D.html
solanacearum,10/18,70,[問卦] 百齡橋什麼時候蓋了水門了？,/bbs/Gossiping/M.1666092844.A.7F3.html
CIIIO,10/18,1,[問卦] 被選舉人海外資產要財產申報嗎,/bbs/Gossiping/M.1666092960.A.4B4.html
kennings,10/18,14,Re: [新聞] 駁王鴻薇爆料 陳其邁：20多前已返還醫科,/bbs/Gossiping/M.1666092973.A.651.html
ivorysoap,10/18,6,Re: [新聞] 能跑能跳不能當兵？蔣萬安「椎間盤突出」,/bbs/Gossiping/M.1666092985.A.E3A.html
pinebox,10/18,5,Re: [新聞] 長髮大姐姐變淫男!17歲少女被逼玩疊疊樂,/bbs/Gossiping/M.1666093009.A.D85.html
nissan168,10/18,10,[問卦] 能廢皇帝，確忠心的人有哪些？,/bbs/Gossiping/M.1666093021.A.A9D.html
pigeqboy,10/18,1,[新聞] 單親父做大夜班撐3口憾罹癌　2女「爸付出,/bbs/Gossiping/M.1666093186.A.B32.html
dahanjian,10/18,24,Re: [問卦] 秀吉為什麼會覺得自己能扳倒明朝？,/bbs/Gossiping/M.1666093270.A.D00.html
james7923,10/18,24,[問卦] 違規仔嗆「誰沒違停過」怎麼反駁？,/bbs/Gossiping/M.1666093306.A.B8D.html
badjye911,10/18,8,[問卦] 打石機拿久還滿痠的八卦？,/bbs/Gossiping/M.1666091286.A.968.html
david0426,10/18,3,[問卦] 網紅開團購一次能抽多少,/bbs/Gossiping/M.1666091303.A.0F4.html
RINPE,10/18,52,Re: [爆卦] 苗博雅紅線違停 媒體完全不敢報 本人裝死,/bbs/Gossiping/M.1666091312.A.E74.html
AV5566,10/18,9,[問卦] 為什麼靜香都沒躲？,/bbs/Gossiping/M.1666091405.A.3E9.html
smallgigi,10/18,3,[問卦] 現在還有槍枝氾濫嚴重種族歧視的國家嗎?,/bbs/Gossiping/M.1666091407.A.C74.html
ebey30918,10/18,2,Re: [問卦] 紅線停車，這是誰的車？,/bbs/Gossiping/M.1666091605.A.7BE.html
ttww1991,10/18,7,[問卦] 打過NOVAVAX後還需要打莫德納次世代嗎??,/bbs/Gossiping/M.1666091638.A.D99.html
ss311tw,10/18,9,[問卦] 女僕身上有槍是正常的嗎,/bbs/Gossiping/M.1666091665.A.AC3.html
how6410,10/18,10,[問卦] 必修程式設計真的有效果嗎？,/bbs/Gossiping/M.1666091739.A.31D.html
wurara22,10/18,40,[問卦] 貓貓整天買醉怎麼辦0‘+’0,/bbs/Gossiping/M.1666091794.A.350.html
kingo2327,10/18,48,[問卦] 秀吉為什麼會覺得自己能扳倒明朝？,/bbs/Gossiping/M.1666091801.A.124.html
gentleman888,10/18,6,[問卦] 大屌肥宅異性緣是不是會很好,/bbs/Gossiping/M.1666092056.A.8A9.html
thewtf,10/18,8,[問卦] 冰河為什麼很少用曙光女神之寬恕,/bbs/Gossiping/M.1666092114.A.56C.html
reexamor,10/18,6,[問卦] 精英中心如果去中心化會變成怎麼樣？,/bbs/Gossiping/M.1666092131.A.B03.html
fucKMT5566,10/18,24,Re: [問卦] 紅線停車，這是誰的車？,/bbs/Gossiping/M.1666092235.A.4EF.html
starwillow,10/18,18,[問卦] 大家都有要去打第四劑嗎？,/bbs/Gossiping/M.1666090425.A.663.html
george303,10/18,24,Re: [爆卦] 苗博雅紅線違停 媒體完全不敢報 本人裝死,/bbs/Gossiping/M.1666090454.A.87D.html
parkinque,10/18,2,Re: [問卦] 台灣怎麼都不流行德州烤肉?,/bbs/Gossiping/M.1666090615.A.BDB.html
black1x2y3z,10/18,2,[問卦] 紅線違停被抓到卻裝死的人是哪種人,/bbs/Gossiping/M.1666090658.A.3B0.html
kikiki37,10/18,8,[問卦] 三位日本人氣偶像來台，該選哪位?,/bbs/Gossiping/M.1666090676.A.973.html
kevinwphard,10/18,26,[問卦] google的主要收入到底是什麼,/bbs/Gossiping/M.1666090681.A.550.html
ffreakk,10/18,6,[問卦] A&W沙士484比較好喝,/bbs/Gossiping/M.1666090692.A.516.html
chopper594,10/18,24,Re: [爆卦] 苗博雅紅線違停 媒體完全不敢報 本人裝死,/bbs/Gossiping/M.1666090712.A.0C3.html
plutox,10/18,1,Re: [問卦] 紅線停車，這是誰的車？,/bbs/Gossiping/M.1666090738.A.CEE.html
sleeeve,10/18,2,[問卦] 長腿女生溜冰的畫面是不是很養眼,/bbs/Gossiping/M.1666090785.A.CB4.html
nk11208z,10/18,45,[新聞] 民調：7成烏克蘭人決心奮戰 直到打贏俄,/bbs/Gossiping/M.1666090821.A.72A.html
thewtf,10/18,7,[問卦] 戴口罩做運動是不是很辛苦（圖,/bbs/Gossiping/M.1666091057.A.08E.html
polanco,10/18,34,[新聞] 牽繩卡電梯外！柴犬「勒脖吊半空中5秒」,/bbs/Gossiping/M.1666091083.A.ED1.html
dennistao,10/18,7,[問卦] 我就問一句哪個組織比哥倫比亞毒梟兇?,/bbs/Gossiping/M.1666091091.A.CC8.html
abiese05,10/18,36,[問卦] 路跑.登山.潛水 下一個網美潮流是啥,/bbs/Gossiping/M.1666091099.A.1E4.html
soul5566,10/18,6,[問卦] 中國人聊天會常用台灣用語嗎?,/bbs/Gossiping/M.1666091146.A.30E.html
loadingN,10/18,3,[問卦] 日式豬排飯比台式排骨飯貴,/bbs/Gossiping/M.1666091204.A.5F1.html
BlueBird5566,10/18,爆,Re: [爆卦] 苗博雅紅線違停 媒體完全不敢報 本人裝死,/bbs/Gossiping/M.1666089224.A.370.html
DDDDRR,10/18,4,[問卦] 蘋蘋澎澎到底是多大,/bbs/Gossiping/M.1666089289.A.115.html
alan0204,10/18,9,[新聞] 憶何麗玲、黃義交互動方式　他曝私下真面,/bbs/Gossiping/M.1666089311.A.E7A.html
chen0625,10/18,4,Re: [問卦] bilibili好用度屌打youtube的八卦？,/bbs/Gossiping/M.1666089312.A.906.html
bibiwann0802,10/18,9,[問卦] 鷸蚌相爭的鷸幹嘛不飛走,/bbs/Gossiping/M.1666089318.A.318.html
koy89202,10/18,9,[問卦] 「不良嗜好」包括哪些？,/bbs/Gossiping/M.1666089463.A.D69.html
cpu01,10/18,6,[問卦] 投資銀行家跟建築師怎麼選,/bbs/Gossiping/M.1666089499.A.1D7.html
bignoob,10/18,21,Re: [新聞] 郭董PCR口水機明天在全家開賣！每台1,/bbs/Gossiping/M.1666089499.A.241.html
iamshana,10/18,爆,[新聞] 傻眼！ 「大溪豆干節」推廣豆食文化 找電,/bbs/Gossiping/M.1666089605.A.85F.html
Atima,10/18,5,Re: [問卦] bilibili好用度屌打youtube的八卦？,/bbs/Gossiping/M.1666089678.A.8C2.html
z753951zxc,10/18,8,Re: [問卦] 高端的主要收入到底是什麼？,/bbs/Gossiping/M.1666089691.A.CA2.html
LoveMakeLove,10/18,45,[新聞] 布林肯示警：中國認為應大幅加快統一台灣,/bbs/Gossiping/M.1666089743.A.C0A.html
Alertme,10/18,6,Re: [新聞] 柯文哲泡水車負責說 蔣萬安:不應推給市民,/bbs/Gossiping/M.1666090014.A.843.html
lwt501cx,10/18,X1,[問卦] 代PO B17針對Alovet的澄清文,/bbs/Gossiping/M.1666090048.A.C22.html
icem,10/18,1,Re: [新聞] 蔡英文南投輔選遇強震 強調已掌握狀況指,/bbs/Gossiping/M.1666090077.A.F94.html
lovea,10/18,13,[問卦] 所以各國都不追究中國covid-19的事了嗎?,/bbs/Gossiping/M.1666090098.A.534.html
mysterydream,10/18,39,[問卦] 螃蟹要怎料理才好吃（急！在線等,/bbs/Gossiping/M.1666090233.A.BC7.html
waymayday,10/18,12,[問卦] 蜘蛛明明很可愛,/bbs/Gossiping/M.1666090325.A.DD2.html
unclefly,10/18,3,[問卦] JoJo是不是預言漫畫？,/bbs/Gossiping/M.1666090353.A.EA5.html
malio,10/18,5,Re: [問卦] 日幣慘遭套牢怎麼辦?,/bbs/Gossiping/M.1666088385.A.1A5.html
chopinmozart,10/18,1,[問卦] 主管說有SOP,/bbs/Gossiping/M.1666088413.A.9D6.html
llgod,10/18,5,[問卦] 吃鐵板燒？為何不改吃熱炒？,/bbs/Gossiping/M.1666088559.A.072.html
awestricken,10/18,8,[問卦] 40歲第一桶精還在要怎麼送出去,/bbs/Gossiping/M.1666088655.A.E32.html
emuless,10/18,36,[新聞] 高虹安提城市發展願景 結合大數據打造智慧新竹,/bbs/Gossiping/M.1666088684.A.8F6.html
gamesame7711,10/18,5,Re: [問卦] 所以打高端要幹嘛？,/bbs/Gossiping/M.1666088732.A.CF6.html
stage0121,10/18,5,[新聞] 財產申報話題延燒 徐定禎、鍾東錦隔空交,/bbs/Gossiping/M.1666088777.A.88B.html
app325,10/18,8,[問卦] 不到一週就離職的是在想什麼？,/bbs/Gossiping/M.1666088842.A.EB4.html
KasmirLo,10/18,3,[問卦] 肥宅用L'Erbolario有沒有加分,/bbs/Gossiping/M.1666088859.A.D18.html
pkpk23456,10/18,9,Re: [新聞] 音樂節廠商受困堤防外 承辦方：水門關了,/bbs/Gossiping/M.1666088896.A.F03.html
opcomtt,10/18,7,[問卦] 同事一直please kindly，該怎辦,/bbs/Gossiping/M.1666088913.A.06B.html
s72005ming,10/18,6,[問卦] 台女幾歲後就不看外貌了？,/bbs/Gossiping/M.1666088920.A.068.html
ARREYU,10/18,6,[問卦] 有沒有非洲淹水的八卦??,/bbs/Gossiping/M.1666088970.A.807.html
sunbysea,10/18,7,[新聞] 抗議二十大 港人中領館內被打 英政界震驚,/bbs/Gossiping/M.1666089055.A.A8E.html
angmoobi,10/18,5,[問卦] 水果這樣還能吃嗎？,/bbs/Gossiping/M.1666089136.A.9F9.html
kashima228,10/18,1,Re: [新聞] 打高端赴日需PCR有望解套!莊人祥:研議,/bbs/Gossiping/M.1666089184.A.5D4.html
LYS5566,10/18,8,[問卦] 萬一女浩克口技很好怎麼辦   ,/bbs/Gossiping/M.1666089218.A.DC7.html
jjbye,10/18,9,[新聞] 台灣網路自由全球第5 中國連8年最差,/bbs/Gossiping/M.1666087463.A.950.html
Roderickey,10/18,6,[問卦] 又難又沒用的學系是不是該退費與廢除?,/bbs/Gossiping/M.1666087490.A.232.html
Paul1021,10/18,8,Re: [新聞] 金錢豹擄人虐殺案二審逆轉！主嫌無期徒刑,/bbs/Gossiping/M.1666087498.A.FF8.html
Pittsburgh,10/18,5,[問卦] 85大樓要怎麼打燈才漂亮,/bbs/Gossiping/M.1666087561.A.F28.html
pennyleo,10/18,5,[問卦] 為何打了高端的人就一定是戰士？,/bbs/Gossiping/M.1666087637.A.876.html
blackis9ood,10/18,5,Re: [新聞] 柯文哲勘災作秀說 林智堅發文反駁、,/bbs/Gossiping/M.1666087655.A.05D.html
FL5566,10/18,13,[問卦] 全身麻醉讓甲甲同事陪好嗎,/bbs/Gossiping/M.1666087680.A.0C4.html
lockinboy,10/18,1,[問卦] 上教練課會變成上教練嗎,/bbs/Gossiping/M.1666087721.A.91B.html
stupid0319,10/18,2,[新聞] 柯文哲泡水車負責說 蔣萬安:不應推給市民,/bbs/Gossiping/M.1666087928.A.486.html
autokey,10/18,1,Re: [新聞] 金錢豹擄人虐殺案二審逆轉！主嫌無期徒刑,/bbs/Gossiping/M.1666087948.A.3B3.html
ed518,10/18,6,[問卦] 30歲擁有一桶金後的下一步？？？,/bbs/Gossiping/M.1666088026.A.656.html
lightwish,10/18,66,[新聞] 致死率80%! 美公布新COVID毒株,/bbs/Gossiping/M.1666088137.A.117.html
davyy,10/18,1,Re: [新聞] 這就是柯文哲的SOP？李正皓曝光簡訊,/bbs/Gossiping/M.1666088169.A.F11.html
Ommmmmm5566,10/18,7,[問卦] 萬一男同事口技很好怎麼辦,/bbs/Gossiping/M.1666088180.A.220.html
Goog1e,10/18,爆,Re: [問卦] 紅線停車，這是誰的車？,/bbs/Gossiping/M.1666088205.A.54B.html
Dreampen,10/18,7,[問卦] 杜芬舒斯博士靠什麼賺錢？,/bbs/Gossiping/M.1666088286.A.98A.html
usokami,10/18,X5,[新聞] 勘災穿皮鞋被批 陳時中：不是服裝比賽該「撩落去」就「撩」,/bbs/Gossiping/M.1666086241.A.D24.html
andyll2,10/18,1,[問卦] 林襄在外抽菸 不違法麼？,/bbs/Gossiping/M.1666086308.A.4C7.html
cgalen1994,10/18,3,[問卦] 有沒有人的帳號收到期貨廣告信,/bbs/Gossiping/M.1666086339.A.06E.html
greenmiracle,10/18,爆,[新聞] 金錢豹擄人虐殺案二審逆轉！主嫌無期徒刑,/bbs/Gossiping/M.1666086415.A.C23.html
uesn930,10/18,23,[新聞] 明日花綺羅變「真人版羅賓」神還原不科學,/bbs/Gossiping/M.1666086449.A.364.html
Ahhhhaaaa,10/18,7,Re: [新聞] 打高端赴日需PCR有望解套!莊人祥:研議,/bbs/Gossiping/M.1666086562.A.5B9.html
Ommmmmm5566,10/18,14,[問卦] 女友怎麼突然說要去健身房上教練課,/bbs/Gossiping/M.1666086635.A.D58.html
leavez,10/18,8,Re: [新聞] 駁王鴻薇爆料 陳其邁：20多前已返還醫科,/bbs/Gossiping/M.1666086678.A.BCA.html
plutox,10/18,7,[問卦] 肉食和素食主義者是一樣的吧？,/bbs/Gossiping/M.1666086697.A.E37.html
MatheFuck,10/18,12,[問卦] 長壽美劇最正女主角應該是HIMYM的Robin吧,/bbs/Gossiping/M.1666086782.A.2F6.html
lovea,10/18,9,[新聞] 恩恩爸悲喊找不到侯友宜 綠營：國民黨有,/bbs/Gossiping/M.1666086876.A.B00.html
lianpig5566,10/18,7,[問卦] 暗黑JK生意,/bbs/Gossiping/M.1666086912.A.BF2.html
cola0920,10/18,12,[問卦] 有沒有連鎖披薩偷偷漲價的掛？,/bbs/Gossiping/M.1666087034.A.987.html
j80025333,10/18,34,[問卦] 日幣慘遭套牢怎麼辦?,/bbs/Gossiping/M.1666087138.A.6BA.html
csghuuguh,10/18,28,[新聞] 加碼、加速、轉移！美參院版NDAA對台軍援,/bbs/Gossiping/M.1666087194.A.EC6.html
ha3810996,10/18,55,[新聞] 長髮大姐姐變淫男!17歲少女被逼玩疊疊樂,/bbs/Gossiping/M.1666087338.A.BEE.html
GFlower,10/18,5,[問卦] 同事廁所呆很久484在廁所革命,/bbs/Gossiping/M.1666087348.A.317.html
cycutom,10/18,5,[問卦] AI不會取代人們的工作，但會類以像化妝？,/bbs/Gossiping/M.1666084913.A.680.html
inet,10/18,10,[問卦] 為何中國南海是中國的領海？,/bbs/Gossiping/M.1666084969.A.787.html
reppoc,10/18,13,[問卦] 吳宇森會怎麼拍無間道？,/bbs/Gossiping/M.1666085073.A.04D.html
sunnydragon7,10/18,10,[新聞] 王鴻薇爆陳其邁「公費念醫」卻未盡義務　,/bbs/Gossiping/M.1666085093.A.DE0.html
faryoo,10/18,5,[新聞] 江啟臣：回歸中華民國憲法是兩岸對話政治,/bbs/Gossiping/M.1666085108.A.3C6.html
fur,10/18,2,Re: [新聞] 高端戰士赴日「補打方案」簽核中　缺幾,/bbs/Gossiping/M.1666085158.A.394.html
JC910,10/18,8,[問卦] 單身工具肥宅為了中出女生要付多大代價？,/bbs/Gossiping/M.1666085188.A.83E.html
rhu,10/18,10,[問卦] 熊好券可以幹嘛?,/bbs/Gossiping/M.1666085191.A.30A.html
doro0202,10/18,1,Re: [問卦] 高端的主要收入到底是什麼？,/bbs/Gossiping/M.1666085213.A.856.html
cosmite,10/18,4,[問卦] 外資有可能賣了就不回頭嗎 ?,/bbs/Gossiping/M.1666085261.A.DC1.html
chakphet,10/18,爆,Re: [新聞] 音樂節廠商受困堤防外 承辦方：水門關了,/bbs/Gossiping/M.1666085292.A.AF9.html
LeeSeDol,10/18,7,[新聞] 習近平二十大涉台談話 民眾黨：宣示意義,/bbs/Gossiping/M.1666085327.A.3AE.html
Shimotsukin,10/18,9,Re: [問卦] 所以打高端要幹嘛？,/bbs/Gossiping/M.1666085416.A.B67.html
cefywo,10/18,1,Re: [新聞] 好膽嘜走！共軍逾越我界線視第一,/bbs/Gossiping/M.1666085437.A.23C.html
iamgaylan,10/18,10,[問卦] 看著那白色的蜻蜓,/bbs/Gossiping/M.1666085443.A.006.html
laugh8562,10/18,2,[問卦] 易科罰金不用漲價嗎?,/bbs/Gossiping/M.1666085696.A.510.html
mianzhe,10/18,16,[新聞] 被爆座車違停婦幼車格 林佳龍競辦致歉：,/bbs/Gossiping/M.1666085817.A.BEC.html
vancepeng,10/18,5,Re: [問卦] 最近幾年有什麼麵包打入你記憶的嗎？,/bbs/Gossiping/M.1666086076.A.4B5.html
smalltwo,10/18,5,Re: [新聞] 高端戰士赴日「補打方案」簽核中　缺幾,/bbs/Gossiping/M.1666083790.A.F73.html
liang691206,10/18,1,Re: [問卦] 通膨會導致股價上漲對ㄇ？,/bbs/Gossiping/M.1666083802.A.E4F.html
hito0509,10/18,爆,[新聞] 法拍屋點交驚見白骨！下秒詭異氣爆　往,/bbs/Gossiping/M.1666083818.A.35C.html
CHTWifiHinet,10/18,7,[問卦] 高端的主要收入到底是什麼？,/bbs/Gossiping/M.1666083833.A.D1B.html
theophany,10/18,37,[問卦] 35歲還在開神a是不是沒救了,/bbs/Gossiping/M.1666083950.A.F6B.html
andy2011,10/18,1,Re: [問卦] 所以打高端要幹嘛？,/bbs/Gossiping/M.1666084091.A.267.html
Freeven,10/18,7,[問卦] 信用評分超低怎麼逆轉,/bbs/Gossiping/M.1666084349.A.308.html
liang691206,10/18,2,Re: [新聞] 他了斷10年友誼！被朋友當負面「情緒垃,/bbs/Gossiping/M.1666084364.A.4CD.html
HyperPoro,10/18,55,[問卦] 韓國的基本工資是不是在亂搞？,/bbs/Gossiping/M.1666084381.A.835.html
lien0972,10/18,5,[問卦] 這次水災成因到底算不算颱風,/bbs/Gossiping/M.1666084543.A.CDC.html
joanne520,10/18,7,[問卦] 到底誰是內鬼？！,/bbs/Gossiping/M.1666084600.A.739.html
horseorange,10/18,5,[問卦] 為什麼美國連店員都會罷工、組工會???,/bbs/Gossiping/M.1666084682.A.DF5.html
thegreatlcx,10/18,3,[問卦] 了因不當和尚是因為不爽吧,/bbs/Gossiping/M.1666084777.A.ED4.html
tsaotsaogh,10/18,16,[新聞] 好膽嘜走！共軍逾越我界線視第一擊　邱國,/bbs/Gossiping/M.1666084789.A.32A.html
kcbill,10/18,99,[新聞] 駁王鴻薇爆料 陳其邁：20多前已返還醫科,/bbs/Gossiping/M.1666082736.A.D5C.html
greattower,10/18,5,[問卦] 這次應該算是台灣版的「水門案」了吧？,/bbs/Gossiping/M.1666082740.A.415.html
vancepeng,10/18,2,[問卦] 13歲沒有5萬是不是沒救了,/bbs/Gossiping/M.1666082821.A.32C.html
MacBookAir12,10/18,61,[新聞] 小勞勃道尼傳回歸漫威！外媒爆：《復聯6》重演「鋼鐵人」　,/bbs/Gossiping/M.1666082827.A.0DD.html
kimura0701,10/18,14,[問卦] 蜂蜜蛋糕的包皮為什麼都會黏住,/bbs/Gossiping/M.1666082876.A.C69.html
botnet,10/18,2,Re: [新聞] 人力缺口逾三成！旅宿首引進自助入住櫃台,/bbs/Gossiping/M.1666082974.A.A59.html
dennistao,10/18,4,[問卦] 幹你媽以後會議是不是都不用紀錄了?,/bbs/Gossiping/M.1666082991.A.CAE.html
Paul1021,10/18,30,[問卦] 到現在都還沒確診過的算是天選之人嗎,/bbs/Gossiping/M.1666083013.A.548.html
papapapapapa,10/18,76,[問卦] 韋恩企業的收入到底是靠什麼,/bbs/Gossiping/M.1666083045.A.819.html
autokey,10/18,6,Re: [問卦] 13歲沒有5萬是不是沒救了,/bbs/Gossiping/M.1666083230.A.E39.html
vancepeng,10/18,1,Re: [問卦] 蜂蜜蛋糕的包皮為什麼都會黏住,/bbs/Gossiping/M.1666083362.A.C0B.html
crashonU,10/18,5,[新聞] 他了斷10年友誼！被朋友當負面「情緒垃,/bbs/Gossiping/M.1666083440.A.A4B.html
krit1009,10/18,1,Re: [問卦] 在銀行工作三點多就能下班是不是很爽？,/bbs/Gossiping/M.1666083542.A.386.html
WaWa3,10/18,9,[問卦] 馬桶沖下去感覺很危險怎辦？萬一是雞雞,/bbs/Gossiping/M.1666083653.A.793.html
zxc2331189,10/18,39,[問卦] 台灣怎麼都不流行德州烤肉?,/bbs/Gossiping/M.1666083665.A.BFC.html
runa2,10/18,X7,[新聞] 柯文哲不在台北被罵翻！律師舉「2前例」,/bbs/Gossiping/M.1666083667.A.5BC.html
